"Year","Grado urbanización","Municipio","GeoCode","Value"
2021,,,,"504.65"
2021,"Ciudades",,,"483.7"
2021,"Zona de densidad intermedia",,,"512.04"
2021,"Zona rural",,,"566.62"
2021,"Zona rural","Abla","A04001","591.41"
2021,"Zona rural","Abrucena","A04002","676.32"
2021,"Zona de densidad intermedia","Adra","A04003","494.1"
2021,"Zona rural","Albanchez","A04004","636.36"
2021,"Zona rural","Alboloduy","A04005","535.95"
2021,"Zona de densidad intermedia","Albox","A04006","594.28"
2021,"Zona rural","Alcolea","A04007","612.49"
2021,"Zona rural","Alcóntar","A04008","830.26"
2021,"Zona rural","Alcudia de Monteagud","A04009","705.43"
2021,"Zona rural","Alhabia","A04010","589.63"
2021,"Zona rural","Alhama de Almería","A04011","557.46"
2021,"Zona rural","Alicún","A04012","632.35"
2021,"Ciudades","Almería (capital)","A04013","469.77"
2021,"Zona rural","Almócita","A04014","517.77"
2021,"Zona rural","Alsodux","A04015","503.82"
2021,"Zona rural","Antas","A04016","703.43"
2021,"Zona rural","Arboleas","A04017","614.51"
2021,"Zona rural","Armuña de Almanzora","A04018","642.17"
2021,"Zona rural","Bacares","A04019","590.36"
2021,"Zona rural","Bayárcal","A04020","507.89"
2021,"Zona rural","Bayarque","A04021","593.61"
2021,"Zona rural","Bédar","A04022","667.35"
2021,"Zona rural","Beires","A04023","537.88"
2021,"Zona de densidad intermedia","Benahadux","A04024","516.35"
2021,"Zona rural","Benitagla","A04026","542.37"
2021,"Zona rural","Benizalón","A04027","634.98"
2021,"Zona rural","Bentarique","A04028","523.01"
2021,"Zona de densidad intermedia","Berja","A04029","652.5"
2021,"Zona rural","Canjáyar","A04030","543.29"
2021,"Zona rural","Cantoria","A04031","636.03"
2021,"Zona de densidad intermedia","Carboneras","A04032","531.1"
2021,"Zona rural","Castro de Filabres","A04033","565.22"
2021,"Zona rural","Cóbdar","A04034",500
2021,"Zona de densidad intermedia","Cuevas del Almanzora","A04035","591.06"
2021,"Zona rural","Chercos","A04036","659.72"
2021,"Zona rural","Chirivel","A04037","772.82"
2021,"Zona rural","Dalías","A04038","517.8"
2021,"Zona rural","Enix","A04041","568.52"
2021,"Zona rural","Felix","A04043","614.46"
2021,"Zona rural","Fines","A04044","651.85"
2021,"Zona rural","Fiñana","A04045","638.34"
2021,"Zona rural","Fondón","A04046","593.02"
2021,"Zona rural","Gádor","A04047","541.89"
2021,"Zona rural","Los Gallardos","A04048","684.65"
2021,"Zona de densidad intermedia","Garrucha","A04049","452.46"
2021,"Zona rural","Gérgal","A04050","541.1"
2021,"Zona rural","Huécija","A04051","549.9"
2021,"Ciudades","Huércal de Almería","A04052","563.15"
2021,"Zona de densidad intermedia","Huércal-Overa","A04053","563.61"
2021,"Zona rural","Íllar","A04054","557.34"
2021,"Zona rural","Instinción","A04055","458.87"
2021,"Zona rural","Laroya","A04056","512.69"
2021,"Zona rural","Láujar de Andarax","A04057","575.74"
2021,"Zona rural","Líjar","A04058","698.49"
2021,"Zona rural","Lubrín","A04059",591
2021,"Zona rural","Lucainena de las Torres","A04060","628.42"
2021,"Zona rural","Lúcar","A04061","680.05"
2021,"Zona de densidad intermedia","Macael","A04062","640.48"
2021,"Zona rural","María","A04063","850.2"
2021,"Zona rural","Mojácar","A04064","727.85"
2021,"Zona rural","Nacimiento","A04065","626.8"
2021,"Zona de densidad intermedia","Níjar","A04066","594.35"
2021,"Zona rural","Ohanes","A04067","540.11"
2021,"Zona rural","Olula de Castro","A04068","721.05"
2021,"Zona de densidad intermedia","Olula del Río","A04069","617.45"
2021,"Zona rural","Oria","A04070","744.47"
2021,"Zona rural","Padules","A04071","467.89"
2021,"Zona rural","Partaloa","A04072","530.52"
2021,"Zona rural","Paterna del Río","A04073","640.83"
2021,"Zona de densidad intermedia","Pechina","A04074","531.5"
2021,"Zona de densidad intermedia","Pulpí","A04075","621.74"
2021,"Zona rural","Purchena","A04076","570.9"
2021,"Zona rural","Rágol","A04077","452.46"
2021,"Zona rural","Rioja","A04078","581.99"
2021,"Zona de densidad intermedia","Roquetas de Mar","A04079","487.98"
2021,"Zona rural","Santa Cruz de Marchena","A04080","674.88"
2021,"Zona rural","Santa Fe de Mondújar","A04081","496.86"
2021,"Zona rural","Senés","A04082","725.09"
2021,"Zona rural","Serón","A04083","667.48"
2021,"Zona rural","Sierro","A04084","621.05"
2021,"Zona rural","Somontín","A04085","650.9"
2021,"Zona rural","Sorbas","A04086","670.98"
2021,"Zona rural","Suflí","A04087","715.74"
2021,"Zona rural","Tabernas","A04088","582.71"
2021,"Zona rural","Taberno","A04089","634.54"
2021,"Zona rural","Tahal","A04090","785.1"
2021,"Zona rural","Terque","A04091","666.67"
2021,"Zona rural","Tíjola","A04092","632.94"
2021,"Zona rural","Turre","A04093","612.8"
2021,"Zona rural","Turrillas","A04094","561.54"
2021,"Zona rural","Uleila del Campo","A04095","671.57"
2021,"Zona rural","Urrácal","A04096","623.31"
2021,"Zona rural","Velefique","A04097","574.47"
2021,"Zona rural","Vélez-Blanco","A04098","660.33"
2021,"Zona de densidad intermedia","Vélez-Rubio","A04099","621.07"
2021,"Zona de densidad intermedia","Vera","A04100","500.17"
2021,"Ciudades","Viator","A04101","561.85"
2021,"Ciudades","Vícar","A04102","511.39"
2021,"Zona rural","Zurgena","A04103","722.97"
2021,"Zona rural","Las Tres Villas","A04901","652.48"
2021,"Zona de densidad intermedia","El Ejido","A04902","540.23"
2021,"Zona de densidad intermedia","La Mojonera","A04903","598.17"
2021,"Zona rural","Balanegra","A04904",
2021,"Zona rural","Alcalá de los Gazules","A11001","512.3"
2021,"Zona rural","Alcalá del Valle","A11002","537.67"
2021,"Zona rural","Algar","A11003","717.75"
2021,"Ciudades","Algeciras","A11004","498.42"
2021,"Zona rural","Algodonales","A11005","470.5"
2021,"Zona de densidad intermedia","Arcos de la Frontera","A11006","499.48"
2021,"Zona de densidad intermedia","Barbate","A11007","422.52"
2021,"Zona de densidad intermedia","Los Barrios","A11008","528.08"
2021,"Zona rural","Benaocaz","A11009","503.6"
2021,"Zona de densidad intermedia","Bornos","A11010","505.55"
2021,"Zona rural","El Bosque","A11011","509.67"
2021,"Ciudades","Cádiz (capital)","A11012","391.29"
2021,"Zona rural","Castellar de la Frontera","A11013","591.86"
