"Year","Grado urbanización","Municipio","GeoCode","Value"
2020,,,,12.617
2020,"Ciudades",,,6.4815
2020,"Zona de densidad intermedia",,,13.7633
2020,"Zona rural",,,34.3902
2020,"Zona rural","Abla","A04001",63.3781
2020,"Zona rural","Abrucena","A04002",6.3622
2020,"Zona de densidad intermedia","Adra","A04003",28.2827
2020,"Zona rural","Albanchez","A04004",35.4194
2020,"Zona rural","Alboloduy","A04005",95.9547
2020,"Zona de densidad intermedia","Albox","A04006",13.1976
2020,"Zona rural","Alcolea","A04007",100
2020,"Zona rural","Alcóntar","A04008",75.1894
2020,"Zona rural","Alcudia de Monteagud","A04009",100
2020,"Zona rural","Alhabia","A04010",86.7925
2020,"Zona rural","Alhama de Almería","A04011",3.4324
2020,"Zona rural","Alicún","A04012",100
2020,"Ciudades","Almería","A04013",4.8307
2020,"Zona rural","Almócita","A04014",100
2020,"Zona rural","Alsodux","A04015",100
2020,"Zona rural","Antas","A04016",35.9862
2020,"Zona rural","Arboleas","A04017",80.9289
2020,"Zona rural","Armuña de Almanzora","A04018",8.3056
2020,"Zona rural","Bacares","A04019",75.4098
2020,"Zona rural","Bayárcal","A04020",0
2020,"Zona rural","Bayarque","A04021",25.9259
2020,"Zona rural","Bédar","A04022",100
2020,"Zona rural","Beires","A04023",100
2020,"Zona de densidad intermedia","Benahadux","A04024",8.861
2020,"Zona rural","Benitagla","A04026",100
2020,"Zona rural","Benizalón","A04027",100
2020,"Zona rural","Bentarique","A04028",100
2020,"Zona de densidad intermedia","Berja","A04029",31.3611
2020,"Zona rural","Canjáyar","A04030",98.1697
2020,"Zona rural","Cantoria","A04031",82.5246
2020,"Zona de densidad intermedia","Carboneras","A04032",33.9923
2020,"Zona rural","Castro de Filabres","A04033",100
2020,"Zona rural","Cóbdar","A04034",100
2020,"Zona de densidad intermedia","Cuevas del Almanzora","A04035",40.0974
2020,"Zona rural","Chercos","A04036",100
2020,"Zona rural","Chirivel","A04037",99.9329
2020,"Zona rural","Dalías","A04038",99.726
2020,"Zona rural","Enix","A04041",100
2020,"Zona rural","Felix","A04043",100
2020,"Zona rural","Fines","A04044",100
2020,"Zona rural","Fiñana","A04045",99.8055
2020,"Zona rural","Fondón","A04046",33.9412
2020,"Zona rural","Gádor","A04047",100
2020,"Zona rural","Gallardos, Los","A04048",37.0939
2020,"Zona de densidad intermedia","Garrucha","A04049",30.5931
2020,"Zona rural","Gérgal","A04050",25.492
2020,"Zona rural","Huécija","A04051",100
2020,"Ciudades","Huércal de Almería","A04052",5.7131
2020,"Zona de densidad intermedia","Huércal-Overa","A04053",25.8068
2020,"Zona rural","Íllar","A04054",100
2020,"Zona rural","Instinción","A04055",0
2020,"Zona rural","Laroya","A04056",2.5773
2020,"Zona rural","Láujar de Andarax","A04057",10.0645
2020,"Zona rural","Líjar","A04058",100
2020,"Zona rural","Lubrín","A04059",56.6401
2020,"Zona rural","Lucainena de las Torres","A04060",100
2020,"Zona rural","Lúcar","A04061",38.6719
2020,"Zona de densidad intermedia","Macael","A04062",0.3082
2020,"Zona rural","María","A04063",10.0962
2020,"Zona rural","Mojácar","A04064",89.7031
2020,"Zona rural","Nacimiento","A04065",99.6117
2020,"Zona de densidad intermedia","Níjar","A04066",68.3508
2020,"Zona rural","Ohanes","A04067",38.3162
2020,"Zona rural","Olula de Castro","A04068",100
2020,"Zona de densidad intermedia","Olula del Río","A04069",14.0791
2020,"Zona rural","Oria","A04070",94.4141
2020,"Zona rural","Padules","A04071",100
2020,"Zona rural","Partaloa","A04072",86.7634
2020,"Zona rural","Paterna del Río","A04073",37.6344
2020,"Zona de densidad intermedia","Pechina","A04074",61.892
2020,"Zona de densidad intermedia","Pulpí","A04075",46.5841
2020,"Zona rural","Purchena","A04076",4.576
2020,"Zona rural","Rágol","A04077",0
2020,"Zona rural","Rioja","A04078",13.968
2020,"Zona de densidad intermedia","Roquetas de Mar","A04079",16.8193
2020,"Zona rural","Santa Cruz de Marchena","A04080",100
2020,"Zona rural","Santa Fe de Mondújar","A04081",98.1328
2020,"Zona rural","Senés","A04082",100
