"Year","Grado urbanización","Municipio","GeoCode","Value"
2020,,,,12.7793
2020,"Ciudades",,,5.2231
2020,"Zona de densidad intermedia",,,13.8775
2020,"Zona rural",,,35.3791
2020,"Zona rural","Abla","A04001",47.1642
2020,"Zona rural","Abrucena","A04002",7.1642
2020,"Zona de densidad intermedia","Adra","A04003",26.3708
2020,"Zona rural","Albanchez","A04004",33.7461
2020,"Zona rural","Alboloduy","A04005",97.5124
2020,"Zona de densidad intermedia","Albox","A04006",23.0198
2020,"Zona rural","Alcolea","A04007",100
2020,"Zona rural","Alcóntar","A04008",72.9885
2020,"Zona rural","Alcudia de Monteagud","A04009",100
2020,"Zona rural","Alhabia","A04010",91.4286
2020,"Zona rural","Alhama de Almería","A04011",2.6746
2020,"Zona rural","Alicún","A04012",100
2020,"Ciudades","Almería","A04013",3.6793
2020,"Zona rural","Almócita","A04014",100
2020,"Zona rural","Alsodux","A04015",100
2020,"Zona rural","Antas","A04016",43.514
2020,"Zona rural","Arboleas","A04017",89.8426
2020,"Zona rural","Armuña de Almanzora","A04018",3.3708
2020,"Zona rural","Bacares","A04019",67.7083
2020,"Zona rural","Bayárcal","A04020",0
2020,"Zona rural","Bayarque","A04021",21.9178
2020,"Zona rural","Bédar","A04022",100
2020,"Zona rural","Beires","A04023",100
2020,"Zona de densidad intermedia","Benahadux","A04024",9.9048
2020,"Zona rural","Benitagla","A04026",100
2020,"Zona rural","Benizalón","A04027",100
2020,"Zona rural","Bentarique","A04028",100
2020,"Zona de densidad intermedia","Berja","A04029",31.2807
2020,"Zona rural","Canjáyar","A04030",97.6378
2020,"Zona rural","Cantoria","A04031",79.1583
2020,"Zona de densidad intermedia","Carboneras","A04032",32.8283
2020,"Zona rural","Castro de Filabres","A04033",100
2020,"Zona rural","Cóbdar","A04034",100
2020,"Zona de densidad intermedia","Cuevas del Almanzora","A04035",55.7479
2020,"Zona rural","Chercos","A04036",100
2020,"Zona rural","Chirivel","A04037",99.8035
2020,"Zona rural","Dalías","A04038",99.8716
2020,"Zona rural","Enix","A04041",100
2020,"Zona rural","Felix","A04043",100
2020,"Zona rural","Fines","A04044",100
2020,"Zona rural","Fiñana","A04045",99.5951
2020,"Zona rural","Fondón","A04046",31.4286
2020,"Zona rural","Gádor","A04047",100
2020,"Zona rural","Gallardos, Los","A04048",58.4367
2020,"Zona de densidad intermedia","Garrucha","A04049",29.4218
2020,"Zona rural","Gérgal","A04050",33.2016
2020,"Zona rural","Huécija","A04051",100
2020,"Ciudades","Huércal de Almería","A04052",11.0052
2020,"Zona de densidad intermedia","Huércal-Overa","A04053",41.1747
2020,"Zona rural","Íllar","A04054",100
2020,"Zona rural","Instinción","A04055",0
2020,"Zona rural","Laroya","A04056",7.6923
2020,"Zona rural","Láujar de Andarax","A04057",4.8649
2020,"Zona rural","Líjar","A04058",100
