"Year","Grado urbanización","Municipio","GeoCode","Value"
2019,"Ciudades",,,6.84
2019,"Zona de densidad intermedia",,,9.09
2019,"Zona rural",,,7.84
2019,,,,7.92
2019,"Zona rural","Abla","A04001",7.44
2019,"Zona rural","Abrucena","A04002",6.46
2019,"Zona de densidad intermedia","Adra","A04003",10.46
2019,"Zona rural","Albanchez","A04004",3.09
2019,"Zona rural","Alboloduy","A04005",3.04
2019,"Zona de densidad intermedia","Albox","A04006",11.68
2019,"Zona rural","Alcolea","A04007",8.69
2019,"Zona rural","Alcóntar","A04008",2.18
2019,"Zona rural","Alcudia de Monteagud","A04009",2.19
2019,"Zona rural","Alhabia","A04010",13.33
2019,"Zona rural","Alhama de Almería","A04011",10.45
2019,"Zona rural","Alicún","A04012",1.32
2019,"Ciudades","Almería","A04013",9.3
2019,"Zona rural","Almócita","A04014",0.79
2019,"Zona rural","Alsodux","A04015",6.08
2019,"Zona rural","Antas","A04016",5.32
2019,"Zona rural","Arboleas","A04017",11.65
2019,"Zona rural","Armuña de Almanzora","A04018",15.23
2019,"Zona rural","Bacares","A04019",5.13
2019,"Zona rural","Bayárcal","A04020",3.83
2019,"Zona rural","Bayarque","A04021",7.62
2019,"Zona rural","Bédar","A04022",8.84
2019,"Zona rural","Beires","A04023",3.29
2019,"Zona de densidad intermedia","Benahadux","A04024",9.29
2019,"Zona rural","Benitagla","A04026",0.89
2019,"Zona rural","Benizalón","A04027",1.45
2019,"Zona rural","Bentarique","A04028",6.87
2019,"Zona de densidad intermedia","Berja","A04029",8.26
2019,"Zona rural","Canjáyar","A04030",5.86
2019,"Zona rural","Cantoria","A04031",6.74
2019,"Zona de densidad intermedia","Carboneras","A04032",13.85
2019,"Zona rural","Castro de Filabres","A04033",2.14
2019,"Zona rural","Cóbdar","A04034",2.69
2019,"Zona de densidad intermedia","Cuevas del Almanzora","A04035",10.19
2019,"Zona rural","Chercos","A04036",4.66
2019,"Zona rural","Chirivel","A04037",9.51
2019,"Zona rural","Dalías","A04038",13.81
2019,"Zona rural","Enix","A04041",29.43
2019,"Zona rural","Felix","A04043",5.4
2019,"Zona rural","Fines","A04044",15.62
2019,"Zona rural","Fiñana","A04045",5.85
2019,"Zona rural","Fondón","A04046",14.13
2019,"Zona rural","Gádor","A04047",9.13
2019,"Zona rural","Gallardos, Los","A04048",4.45
2019,"Zona de densidad intermedia","Garrucha","A04049",11.31
2019,"Zona rural","Gérgal","A04050",9.24
2019,"Zona rural","Huécija","A04051",7.48
2019,"Ciudades","Huércal de Almería","A04052",6.96
2019,"Zona de densidad intermedia","Huércal-Overa","A04053",11.74
2019,"Zona rural","Íllar","A04054",7.52
2019,"Zona rural","Instinción","A04055",9.55
2019,"Zona rural","Laroya","A04056",4.35
2019,"Zona rural","Láujar de Andarax","A04057",5.8
2019,"Zona rural","Líjar","A04058",12.74
2019,"Zona rural","Lubrín","A04059",4.22
2019,"Zona rural","Lucainena de las Torres","A04060",5.53
2019,"Zona rural","Lúcar","A04061",5.92
2019,"Zona de densidad intermedia","Macael","A04062",6.84
2019,"Zona rural","María","A04063",3.37
2019,"Zona rural","Mojácar","A04064",7.36
2019,"Zona rural","Nacimiento","A04065",5.57
2019,"Zona de densidad intermedia","Níjar","A04066",7.32
2019,"Zona rural","Ohanes","A04067",7.11
2019,"Zona rural","Olula de Castro","A04068",2.56
2019,"Zona de densidad intermedia","Olula del Río","A04069",12.08
2019,"Zona rural","Oria","A04070",7.78
2019,"Zona rural","Padules","A04071",7.82
2019,"Zona rural","Partaloa","A04072",4.05
2019,"Zona rural","Paterna del Río","A04073",12.38
2019,"Zona de densidad intermedia","Pechina","A04074",12.89
2019,"Zona de densidad intermedia","Pulpí","A04075",30.51
2019,"Zona rural","Purchena","A04076",11.08
2019,"Zona rural","Rágol","A04077",6.49
2019,"Zona rural","Rioja","A04078",4.6
2019,"Zona de densidad intermedia","Roquetas de Mar","A04079",14.02
2019,"Zona rural","Santa Cruz de Marchena","A04080",1.76
2019,"Zona rural","Santa Fe de Mondújar","A04081",4.49
2019,"Zona rural","Senés","A04082",2.34
2019,"Zona rural","Serón","A04083",5.99
2019,"Zona rural","Sierro","A04084",8.9
2019,"Zona rural","Somontín","A04085",3.53
2019,"Zona rural","Sorbas","A04086",8.72
2019,"Zona rural","Suflí","A04087",14.5
2019,"Zona rural","Tabernas","A04088",13.18
2019,"Zona rural","Taberno","A04089",6.32
2019,"Zona rural","Tahal","A04090",1.27
2019,"Zona rural","Terque","A04091",29.38
2019,"Zona rural","Tíjola","A04092",10.73
2019,"Zona rural","Turre","A04093",9.69
2019,"Zona rural","Turrillas","A04094",2.27
2019,"Zona rural","Uleila del Campo","A04095",7.24
2019,"Zona rural","Urrácal","A04096",5.92
2019,"Zona rural","Velefique","A04097",1.87
2019,"Zona rural","Vélez-Blanco","A04098",6.47
2019,"Zona de densidad intermedia","Vélez-Rubio","A04099",8
2019,"Zona de densidad intermedia","Vera","A04100",9.45
2019,"Ciudades","Viator","A04101",12.93
2019,"Ciudades","Vícar","A04102",16.85
2019,"Zona rural","Zurgena","A04103",3.67
2019,"Zona rural","Tres Villas, Las","A04901",8.9
2019,"Zona de densidad intermedia","Ejido, El","A04902",12.16
2019,"Zona de densidad intermedia","Mojonera, La","A04903",4.55
2019,"Zona rural","Balanegra","A04904",5.64
2019,"Zona rural","Alcalá de los Gazules","A11001",8.79
2019,"Zona rural","Alcalá del Valle","A11002",8.33
2019,"Zona rural","Algar","A11003",10.06
2019,"Ciudades","Algeciras","A11004",6.61
2019,"Zona rural","Algodonales","A11005",7.43
2019,"Zona de densidad intermedia","Arcos de la Frontera","A11006",8
2019,"Zona de densidad intermedia","Barbate","A11007",5
2019,"Zona de densidad intermedia","Barrios, Los","A11008",9.05
2019,"Zona rural","Benaocaz","A11009",10.66
2019,"Zona de densidad intermedia","Bornos","A11010",7.13
2019,"Zona rural","Bosque, El","A11011",6.82
2019,"Ciudades","Cádiz","A11012",5.1
2019,"Zona rural","Castellar de la Frontera","A11013",4.91
2019,"Zona de densidad intermedia","Conil de la Frontera","A11014",12.07
2019,"Ciudades","Chiclana de la Frontera","A11015",6.93
2019,"Zona de densidad intermedia","Chipiona","A11016",4.88
2019,"Zona rural","Espera","A11017",8.42
2019,"Zona rural","Gastor, El","A11018",8.16
2019,"Zona rural","Grazalema","A11019",2.92
2019,"Ciudades","Jerez de la Frontera","A11020",6.8
2019,"Zona rural","Jimena de la Frontera","A11021",5.86
2019,"Ciudades","Línea de la Concepción, La","A11022",8.23
2019,"Zona de densidad intermedia","Medina Sidonia","A11023",11.27
2019,"Zona de densidad intermedia","Olvera","A11024",9.61
