Year,Grado urbanización,Municipio,GeoCode,Value
2020,,,,8.29
2020,Ciudades,,,7.39
2020,Zona de densidad intermedia,,,9.42
2020,Zona rural,,,8.2
2020,Zona rural,Abla,A04001,9.94
2020,Zona rural,Abrucena,A04002,8.28
2020,Zona de densidad intermedia,Adra,A04003,14.28
2020,Zona rural,Albanchez,A04004,34.06
2020,Zona rural,Alboloduy,A04005,3.78
2020,Zona de densidad intermedia,Albox,A04006,27.55
2020,Zona rural,Alcolea,A04007,2.61
2020,Zona rural,Alcóntar,A04008,7.59
2020,Zona rural,Alcudia de Monteagud,A04009,7.97
2020,Zona rural,Alhabia,A04010,3.4
2020,Zona rural,Alhama de Almería,A04011,9.1
2020,Zona rural,Alicún,A04012,1.0
2020,Ciudades,Almería,A04013,11.6
2020,Zona rural,Almócita,A04014,8.52
2020,Zona rural,Alsodux,A04015,6.4
2020,Zona rural,Antas,A04016,21.99
2020,Zona rural,Arboleas,A04017,66.98
2020,Zona rural,Armuña de Almanzora,A04018,5.67
2020,Zona rural,Bacares,A04019,2.0
2020,Zona rural,Bayárcal,A04020,3.21
2020,Zona rural,Bayarque,A04021,9.72
2020,Zona rural,Bédar,A04022,58.74
2020,Zona rural,Beires,A04023,0.83
2020,Zona de densidad intermedia,Benahadux,A04024,5.27
2020,Zona rural,Benitagla,A04026,1.72
2020,Zona rural,Benizalón,A04027,15.27
2020,Zona rural,Bentarique,A04028,2.5
2020,Zona de densidad intermedia,Berja,A04029,13.17
2020,Zona rural,Canjáyar,A04030,3.7
2020,Zona rural,Cantoria,A04031,23.57
2020,Zona de densidad intermedia,Carboneras,A04032,12.83
2020,Zona rural,Castro de Filabres,A04033,3.33
2020,Zona rural,Cóbdar,A04034,4.49
2020,Zona de densidad intermedia,Cuevas del Almanzora,A04035,26.66
2020,Zona rural,Chercos,A04036,8.39
2020,Zona rural,Chirivel,A04037,9.47
2020,Zona rural,Dalías,A04038,7.33
2020,Zona rural,Enix,A04041,22.76
2020,Zona rural,Felix,A04043,9.59
2020,Zona rural,Fines,A04044,12.88
2020,Zona rural,Fiñana,A04045,4.39
2020,Zona rural,Fondón,A04046,4.12
2020,Zona rural,Gádor,A04047,9.95
2020,Zona rural,"Gallardos, Los",A04048,37.7
2020,Zona de densidad intermedia,Garrucha,A04049,24.26
2020,Zona rural,Gérgal,A04050,20.56
2020,Zona rural,Huécija,A04051,3.29
2020,Ciudades,Huércal de Almería,A04052,3.04
2020,Zona de densidad intermedia,Huércal-Overa,A04053,19.24
2020,Zona rural,Íllar,A04054,5.19
2020,Zona rural,Instinción,A04055,9.15
2020,Zona rural,Laroya,A04056,6.57
2020,Zona rural,Láujar de Andarax,A04057,2.95
2020,Zona rural,Líjar,A04058,5.33
2020,Zona rural,Lubrín,A04059,25.12
2020,Zona rural,Lucainena de las Torres,A04060,17.55
2020,Zona rural,Lúcar,A04061,7.5
2020,Zona de densidad intermedia,Macael,A04062,4.29
2020,Zona rural,María,A04063,5.85
2020,Zona rural,Mojácar,A04064,47.86
2020,Zona rural,Nacimiento,A04065,21.57
