Year,Grado urbanización,Municipio,GeoCode,Value
2020,,,,26.47
2020,Ciudades,,,28.24
2020,Zona de densidad intermedia,,,25.23
2020,Zona rural,,,23.96
2020,Zona rural,Abla,A04001,20.03
2020,Zona rural,Abrucena,A04002,22.46
2020,Zona de densidad intermedia,Adra,A04003,21.87
2020,Zona rural,Albanchez,A04004,16.53
2020,Zona rural,Alboloduy,A04005,18.43
2020,Zona de densidad intermedia,Albox,A04006,20.17
2020,Zona rural,Alcolea,A04007,26.17
2020,Zona rural,Alcóntar,A04008,14.13
2020,Zona rural,Alcudia de Monteagud,A04009,12.96
2020,Zona rural,Alhabia,A04010,27.06
2020,Zona rural,Alhama de Almería,A04011,23.82
2020,Zona rural,Alicún,A04012,26.92
2020,Ciudades,Almería,A04013,25.27
2020,Zona rural,Almócita,A04014,17.23
2020,Zona rural,Alsodux,A04015,18.08
2020,Zona rural,Antas,A04016,12.88
2020,Zona rural,Arboleas,A04017,19.03
2020,Zona rural,Armuña de Almanzora,A04018,14.04
2020,Zona rural,Bacares,A04019,19.21
2020,Zona rural,Bayárcal,A04020,16.08
2020,Zona rural,Bayarque,A04021,17.61
2020,Zona rural,Bédar,A04022,20.11
2020,Zona rural,Beires,A04023,21.31
2020,Zona de densidad intermedia,Benahadux,A04024,20.81
2020,Zona rural,Benitagla,A04026,9.78
2020,Zona rural,Benizalón,A04027,17.69
2020,Zona rural,Bentarique,A04028,24.51
2020,Zona de densidad intermedia,Berja,A04029,23.48
2020,Zona rural,Canjáyar,A04030,29.41
2020,Zona rural,Cantoria,A04031,20.71
2020,Zona de densidad intermedia,Carboneras,A04032,23.05
2020,Zona rural,Castro de Filabres,A04033,11.19
2020,Zona rural,Cóbdar,A04034,17.18
2020,Zona de densidad intermedia,Cuevas del Almanzora,A04035,19.41
2020,Zona rural,Chercos,A04036,19.34
2020,Zona rural,Chirivel,A04037,15.27
2020,Zona rural,Dalías,A04038,15.64
2020,Zona rural,Enix,A04041,11.55
2020,Zona rural,Felix,A04043,14.46
2020,Zona rural,Fines,A04044,21.42
2020,Zona rural,Fiñana,A04045,25.0
2020,Zona rural,Fondón,A04046,18.22
2020,Zona rural,Gádor,A04047,30.44
2020,Zona rural,"Gallardos, Los",A04048,17.15
2020,Zona de densidad intermedia,Garrucha,A04049,26.71
2020,Zona rural,Gérgal,A04050,22.38
2020,Zona rural,Huécija,A04051,15.22
2020,Ciudades,Huércal de Almería,A04052,20.47
2020,Zona de densidad intermedia,Huércal-Overa,A04053,17.95
2020,Zona rural,Íllar,A04054,20.84
2020,Zona rural,Instinción,A04055,20.05
2020,Zona rural,Laroya,A04056,16.99
2020,Zona rural,Láujar de Andarax,A04057,21.11
2020,Zona rural,Líjar,A04058,22.88
2020,Zona rural,Lubrín,A04059,18.78
2020,Zona rural,Lucainena de las Torres,A04060,22.32
2020,Zona rural,Lúcar,A04061,22.84
2020,Zona de densidad intermedia,Macael,A04062,22.37
2020,Zona rural,María,A04063,14.81
2020,Zona rural,Mojácar,A04064,21.38
2020,Zona rural,Nacimiento,A04065,17.12
2020,Zona de densidad intermedia,Níjar,A04066,16.98
2020,Zona rural,Ohanes,A04067,28.34
2020,Zona rural,Olula de Castro,A04068,12.94
2020,Zona de densidad intermedia,Olula del Río,A04069,25.7
2020,Zona rural,Oria,A04070,16.06
2020,Zona rural,Padules,A04071,20.14
2020,Zona rural,Partaloa,A04072,16.81
2020,Zona rural,Paterna del Río,A04073,22.47
2020,Zona de densidad intermedia,Pechina,A04074,28.35
2020,Zona de densidad intermedia,Pulpí,A04075,9.24
2020,Zona rural,Purchena,A04076,20.6
2020,Zona rural,Rágol,A04077,19.21
2020,Zona rural,Rioja,A04078,32.05
2020,Zona de densidad intermedia,Roquetas de Mar,A04079,22.06
2020,Zona rural,Santa Cruz de Marchena,A04080,21.57
2020,Zona rural,Santa Fe de Mondújar,A04081,30.52
2020,Zona rural,Senés,A04082,22.07
2020,Zona rural,Serón,A04083,17.09
2020,Zona rural,Sierro,A04084,25.35
2020,Zona rural,Somontín,A04085,18.06
