Value,Disaggregation combinations using this value,Number of indicators
Abla,5,5
Abrucena,5,5
Adamuz,5,5
Adra,5,5
Agrón,5,5
Aguadulce,5,5
Aguilar de la Frontera,5,5
Alameda,5,5
Alamedilla,5,5
Alanís,5,5
Albaida del Aljarafe,5,5
Albanchez de Mágina,5,5
Albanchez,5,5
Alboloduy,5,5
Albolote,5,5
Albondón,5,5
Albox,5,5
Albuñol,5,5
Albuñuelas,5,5
Albuñán,5,5
Alcalá de Guadaíra,5,5
Alcalá de los Gazules,5,5
Alcalá del Río,5,5
Alcalá del Valle,5,5
Alcalá la Real,5,5
Alcaracejos,5,5
Alcaucín,5,5
Alcaudete,5,5
Alcolea del Río,5,5
Alcolea,5,5
Alcudia de Monteagud,5,5
Alcóntar,5,5
Aldeaquemada,5,5
Aldeire,5,5
Alfacar,5,5
Alfarnate,5,5
Alfarnatejo,5,5
"Algaba, La",5,5
Algar,5,5
Algarinejo,5,5
Algarrobo,5,5
Algatocín,5,5
Algeciras,5,5
Algodonales,5,5
Algámitas,5,5
Alhabia,5,5
Alhama de Almería,5,5
Alhama de Granada,5,5
Alhaurín de la Torre,5,5
Alhaurín el Grande,5,5
Alhendín,5,5
Alicún de Ortega,5,5
Alicún,5,5
Aljaraque,5,5
Almadén de la Plata,5,5
Almargen,5,5
Almedinilla,5,5
Almegíjar,5,5
"Almendro, El",5,5
Almensilla,5,5
Almería,5,5
Almodóvar del Río,5,5
Almogía,5,5
Almonaster la Real,5,5
Almonte,5,5
Almuñécar,5,5
Almáchar,5,5
Almócita,5,5
Alosno,5,5
Alozaina,5,5
Alpandeire,5,5
Alpujarra de la Sierra,5,5
Alquife,5,5
Alsodux,5,5
Alájar,5,5
Andújar,5,5
Antas,5,5
Antequera,5,5
Aracena,5,5
Arahal,5,5
Arboleas,5,5
Archidona,5,5
Arcos de la Frontera,5,5
Ardales,5,5
Arenas del Rey,5,5
Arenas,5,5
Arjona,5,5
Arjonilla,5,5
Armilla,5,5
Armuña de Almanzora,5,5
Aroche,5,5
Arquillos,5,5
Arriate,5,5
Arroyo del Ojanco,5,5
Arroyomolinos de León,5,5
Atajate,5,5
Atarfe,5,5
Ayamonte,5,5
Aznalcázar,5,5
Aznalcóllar,5,5
Añora,5,5
Bacares,5,5
Badolatosa,5,5
Baena,5,5
Baeza,5,5
Bailén,5,5
Balanegra,5,5
Barbate,5,5
"Barrios, Los",5,5
Bayarque,5,5
Bayárcal,5,5
Baza,5,5
Baños de la Encina,5,5
Beas de Granada,5,5
Beas de Guadix,5,5
Beas de Segura,5,5
Beas,5,5
Bedmar y Garcíez,5,5
Begíjar,5,5
Beires,5,5
Belalcázar,5,5
Belmez,5,5
Benacazón,5,5
Benadalid,5,5
Benahadux,5,5
Benahavís,5,5
Benalauría,5,5
Benalmádena,5,5
Benalup-Casas Viejas,5,5
Benalúa de las Villas,5,5
Benalúa,5,5
Benamargosa,5,5
Benamaurel,5,5
Benamejí,5,5
Benamocarra,5,5
Benaocaz,5,5
Benaoján,5,5
Benarrabá,5,5
Benatae,5,5
Benitagla,5,5
Benizalón,5,5
Bentarique,5,5
Berja,5,5
Berrocal,5,5
"Blázquez, Los",5,5
Bollullos de la Mitación,5,5
Bollullos Par del Condado,5,5
Bonares,5,5
"Borge, El",5,5
Bormujos,5,5
Bornos,5,5
"Bosque, El",5,5
Brenes,5,5
Bubión,5,5
Bujalance,5,5
"Burgo, El",5,5
Burguillos,5,5
Busquístar,5,5
Bédar,5,5
Bélmez de la Moraleda,5,5
Bérchules,5,5
"Cabezas de San Juan, Las",5,5
Cabezas Rubias,5,5
Cabra del Santo Cristo,5,5
Cabra,5,5
Cacín,5,5
Cala,5,5
"Calahorra, La",5,5
Calañas,5,5
Calicasas,5,5
Camas,5,5
Cambil,5,5
"Campana, La",5,5
Campillo de Arenas,5,5
"Campillo, El",5,5
Campillos,5,5
Campofrío,5,5
Campotéjar,5,5
Canena,5,5
